,model_default_transcript,confidence_default,transcipt_model_video,confidence_video,remy_model_default_transcript,remy_confidence_default,remy_transcipt_model_video,remy_confidence_video,mj_nlp_model_default,mj_nlp_model_video,token_output_model_default,token_output_model_video,remy_token_output_model_default,remy_token_output_model_video
0,inverness 90190 591 90503 west highway 46 west cunningham drive,0.8159176111221313,and then 901 painter 905 bravo response vehicle fire 64 0 3 left highway 40 midway budget inn motel boom fire jurisdiction and in 901 tanker 905 throttle response vehicle fire six four zero three west highway 40 live way budget inn motel bun fire jurisdiction cross off swept cunningham dr and north i d manor im out 1251 hours,0.9004148840904236,quinton seven charlie response water flow alarm for 700 brandon woods street columbia fire jurisdiction at 7 charlie response water flow alarm for 700 brandon woods street columbia fire jurisdiction cross off west southampton drive and west north cedar lake drive,0.9279716014862059,quinton seven charlie respond water flow alarm 4700 brandon woods streak columbia fire jurisdiction quinn 7 charlie response water flow alarm for 7000 brandon would treat columbia fire jurisdictions across all swept southampton dr and west north cedar lake dr timeout 1226 hours,0.8951310515403748,Inverness 90190 591 90503 West Highway 46 West Cunningham Drive,and then 901 painter 905 Bravo response vehicle fire 64 0 3 left Highway 40 Midway Budget Inn Motel boom fire jurisdiction and in 901 tanker 905 throttle response vehicle fire six four zero three West Highway 40 live way Budget Inn Motel bun fire jurisdiction cross off swept Cunningham Dr and North i d Manor I'm out 12:51 hours,['46 west cunningham drive'],"['905 bravo response vehicle', '40 midway budget inn', '905 throttle response vehicle', '40 live way budget']","['700 brandon woods street', '7 charlie response water', '700 brandon woods street']","['4700 brandon woods streak', '7 charlie response water', '7000 brandon would treat']"
1,7  6,0.9080190062522888,quinton seven charlie response sick person 67 0 6 shalom dr columbia fire jurisdiction 27 charlie response sick person six seven zero six chillon dr columbia fire jurisdiction cross off cascades dr and port orchard dr timeout 1529 hours,0.8872276544570923,5125 north keene street,0.944503664970398,medic to the he 1 alpha v son patience transfer 525 north keen street units 301 neurology incorporated i love you fire jurisdiction medic 251 alva response patients transfer five to five north teen street unit 301 neurology incorporated columbia fire jurisdictions across of wind a court and berrywood dr timeout 1035 hours,0.8940654397010803,7 * 6,Quinton seven Charlie response sick person 67 0 6 Shalom Dr Columbia Fire jurisdiction 27 Charlie response sick person six seven zero six chillon Dr Columbia Fire jurisdiction cross off Cascades Dr and Port Orchard Dr timeout 15:29 hours,[],"['6 shalom dr columbia', '27 charlie response sick']",['5125 north keene street'],"['1 alpha v son', '525 north keen street', '301 neurology incorporated i', '251 alva response patients', '301 neurology incorporated columbia']"
2,hartley response 6  2475 broadway bluffs drive unit 200 liberty plaza her lyrics are sick person,0.8273892998695374,engines whine charlie response sixperson 2475 broadway bluffs dr unit 200 liberty plaza medical building columbia fire jurisdiction engine one charlie response sick person 2 4 7 5 broadway bluffs dr unit 200 liberty plaza medical building columbia fire jurisdiction cross off east broadway and trimble road timeout 14 17 hours,0.8781431913375854,unknown,0.6685289144515991,that is 212 make the alarm bravo response unknown problem 1110 i 70 dr south west columbia fire jurisdiction medic 212 make the alarm bravo response unknown problem 1110 i 70 dr path west columbia fire jurisdiction cross off northwest boulevard and aspen dr pine out 1707 hours ive won zero west georgetown dr boone fire jurisdiction cross off south waterford dr and south pickford blake timeout 1707 hours,0.9083335399627686,Hartley response 6 - 2475 Broadway Bluffs Drive Unit 200 Liberty Plaza her lyrics are sick person,engines whine Charlie response six-person 2475 Broadway Bluffs Dr unit 200 Liberty Plaza Medical Building Columbia Fire jurisdiction engine one Charlie response sick person 2 4 7 5 Broadway Bluffs Dr unit 200 Liberty Plaza Medical Building Columbia Fire jurisdiction cross off East Broadway and Trimble Road timeout 14 17 hours,"['2475 broadway bluffs drive', '200 liberty plaza her']","['2475 broadway bluffs dr', '200 liberty plaza medical', '5 broadway bluffs dr', '200 liberty plaza medical']",[],"['212 make the alarm', '70 dr south west', '212 make the alarm', '70 dr path west', '1707 hours ive won']"
3,brock 1406 truck a 06 robbery charge 4306 west bethany drive trucks 1406,0.7846130728721619,prague 1406 truck 806 bravo response fall 4306 west bethany dr boone buyer jurisdiction truck 1406 truck 806 bravo response fall for 306 west bethany dr boone fire jurisdiction cross off scott boulevard and west bellview dr timeout 1428 hours,0.8873441815376282,queens pride charlie response pulsations alarm 3405 clark lane unit 805 clark lane unit face creekwood parkway,0.90721195936203,quinton five charlie response pull stations alarm 3405 clark main unit a bandanas barbecue restaurant columbia fire jurisdictions quints 5 charlie response pull stations alarm 3 4 0 v clark main unit a bandanas barbecue restaurant columbia fire jurisdiction cross off creekwood parkway and woodland springs court timeout 1327 hours this is attached repeat this is a test this is a test repeat this is a test,0.8934880495071411,Brock 1406 truck a 06 robbery charge 4306 West Bethany drive trucks 1406,Prague 1406 truck 806 Bravo response fall 4306 West Bethany Dr Boone buyer jurisdiction truck 1406 truck 806 Bravo response fall for 3:06 West Bethany Dr Boone fire jurisdiction cross off Scott Boulevard and West Bellview Dr timeout 14:28 hours,['4306 west bethany drive'],"['806 bravo response fall', '4306 west bethany dr', '806 bravo response fall', '306 west bethany dr']","['3405 clark lane unit', '805 clark lane unit']","['3405 clark main unit', '5 charlie response pull', '0 v clark main', '1327 hours this is']"
4,7th medical emergency 4303 south providence road rock ridge high school,0.8849692344665527,quinton seven medical emergency 4303 south providence road rock bridge high school columbia fire jurisdiction quinn 7 medical emergency for three zero three south providence road rock ridge high school columbia fire jurisdiction cross of outer broad and deep south hampton dr timeout 15 44 hours,0.8817622065544128,flat earth wind fire alarm 1100 virginia avenue,0.8923190236091614,matter one charlie this pub fire alarm 1100 virginia avenue moai you mhc orthopedic institute columbia fire jurisdiction ladder one charlie response fire alarm 1 1 0 0 virginia avenue moai you mhc orthopedic institute columbia fire jurisdiction cross off hospital dr and monk dr timeout 947 hours,0.8970364332199097,7th medical emergency 4303 South Providence Road Rock Ridge High School,Quinton seven medical emergency 4303 South Providence Road Rock Bridge High School Columbia Fire jurisdiction Quinn 7 medical emergency for three zero three South Providence Road Rock Ridge High School Columbia Fire jurisdiction Cross of outer Broad and Deep South Hampton Dr timeout 15 44 hours,['4303 south providence road'],"['4303 south providence road', '7 medical emergency for']",[],"['1100 virginia avenue moai', '0 virginia avenue moai']"
5,alco response 6361,0.8294494152069092,betty x111 alpha response fall 6361 east breezewood dr boone fire jurisdiction manic 111 elbow response fall 63 61 east breeze would drive boom fire jurisdiction cross off north penny lane and north dewey lane timeout 1146 hours,0.8695200085639954,queen creek 1201 queen street,0.6619284749031067,quinton three bravo response hemorrhage 1201 paquin treat unit 804 paquin towers apartments columbia fire jurisdiction quince tree bravo response hemorrhage 1 to 0 1 paquin street unit 804 hacklin powers apartment columbia fire jurisdiction cross off wall street and nephews street time out fourteen forty hours medic to 12 bravo response hemorrhage 1201 paquin street unit 804 paquin towers apartments columbia fire jurisdiction medic to 12 bravo response hemorrhage 1 to 0 1 paquin street unit,0.8948845863342285,Alco response 63-61,Betty x-111 Alpha response fall 63-61 East Breezewood Dr Boone fire jurisdiction manic 111 elbow response fall 6-3 6-1 East Breeze would drive boom fire jurisdiction cross off North Penny Lane and North Dewey Lane timeout 11:46 hours,[],"['111 alpha response fall', '6361 east breezewood dr', '111 elbow response fall', '61 east breeze would']",[],"['1201 paquin treat unit', '804 paquin towers apartments', '1 paquin street unit', '804 hacklin powers apartment', '12 bravo response hemorrhage', '1201 paquin street unit', '804 paquin towers apartments', '12 bravo response hemorrhage', '1 paquin street unit']"
6,kelly response intentional overdose 602 west sexton road columbia fire engine 202 section road,0.9246230125427246,and then to charlie response intentional overdose 602 west sexton road columbia fire jurisdiction engine to charlie response intentional overdose 602 west sexton road columbia fire jurisdiction cross off 1st avenue and michael street timeout 14 24 hours if i your jurisdiction cross out of 1st avenue and michael street timeout 14 24 hours,0.9100998044013976,alco respond 6361 east bridgewood drive boone fire jurisdiction,0.8919583559036255,bear x111 alpha response fall 6361 east breezewood dr boone fire jurisdiction medic 111 alpha response fall 63 61 each breezewood dr boom fire jurisdiction coughs north penny lane and north dewey lane timeout 1146 hours water one arrival 1146 is responding to talk,0.8785989284515381,Kelly response intentional overdose 602 West Sexton Road Columbia fire engine 202 Section Road,and then to Charlie response intentional overdose 602 West Sexton Road Columbia Fire jurisdiction engine to Charlie response intentional overdose 6:02 West Sexton Road Columbia Fire jurisdiction cross off 1st Avenue and Michael Street timeout 14 24 hours if I your jurisdiction cross out of 1st Avenue and Michael Street timeout 14 24 hours,['602 west sexton road'],"['602 west sexton road', '602 west sexton road', '24 hours if i']",['6361 east bridgewood drive'],"['111 alpha response fall', '6361 east breezewood dr', '111 alpha response fall', '61 each breezewood dr', '1146 hours water one', '1146 is responding to']"
7,25103 east broadway,0.91805100440979,bennett 251 alba response sixperson 2703 east broadway unit to 40 columbia fire jurisdiction medic 251 alpha response sick person to 703 east broadway unit to 40 columbia fire jurisdiction cross off trimble proud and brickton road time out 1419 hours,0.8838346004486084,242 bms response 2200 bernadette drive,0.8476144671440125,medic 222 ems response 2200 bernadette dr dealers columbia mall columbia fire jurisdiction medic 222 ems respond to two zero zero bernadette dr sailors columbia mall columbia fire jurisdiction cross of knipp street and atkins dr timeout 1237 hours,0.8927479982376099,25103 East Broadway,Bennett 251 Alba response six-person 2703 East Broadway unit to 40 Columbia Fire jurisdiction medic 251 Alpha response sick person to 7:03 East Broadway unit to 40 Columbia Fire jurisdiction cross off Trimble proud and brickton Road Time Out 14:19 hours,[],"['251 alba response sixperson', '2703 east broadway unit', '40 columbia fire jurisdiction', '251 alpha response sick', '703 east broadway unit', '40 columbia fire jurisdiction']",[],"['2200 bernadette dr dealers', '222 ems respond to']"
8,901 anchor 905,0.8514360785484314,engine 901 tanker 905 engine to bravo response vehicle collision this situation unknown i 70 west mile marker 122 over 0 westbound bun fire jurisdiction and in 901 tanker 905 engine to bravo response vehicle collision situation unknown i 70 west mile marker 1 to 2 over 0 westbound bun fire jurisdiction crossouts west highway 40 off ramp west bound and perche creek timeout 1458 hours,0.8943483829498291,2475 broadway bluffs drive,0.9369236826896667,and then this one charlie response sick person 2475 broadway bluffs dr unit 200 liberty plaza medical building columbia fire jurisdiction engine one charlie response sick person 2 4 7 5 broadway bluffs dr unit 200 liberty plaza medical building columbia fire jurisdiction cross off east broadway and trimble road timeout 14 17 hours liberty plaza medical building on broadway time out,0.8852241039276123,901 anchor 905,engine 901 tanker 905 engine to Bravo response vehicle collision this situation unknown I 70 West mile marker 122 over 0 westbound bun fire jurisdiction and in 901 tanker 905 engine to Bravo response vehicle collision situation unknown I 70 West Mile Marker 1 to 2 over 0 westbound bun fire jurisdiction cross-outs West Highway 40 off ramp west bound and Perche Creek timeout 14:58 hours,[],"['905 engine to bravo', '70 west mile marker', '0 westbound bun fire', '905 engine to bravo', '70 west mile marker', '0 westbound bun fire', '40 off ramp west']",['2475 broadway bluffs drive'],"['2475 broadway bluffs dr', '200 liberty plaza medical', '5 broadway bluffs dr', '200 liberty plaza medical', '17 hours liberty plaza']"
9,italian squad 3500 block north stadium,0.7863472104072571,and then q ladder to battalion to chief seven squad 3 zelda response vehicle collision with extrication 3500 block north stadium boulevard columbia fire jurisdiction engine to ladder to battalion to chief seven squad 3 delta response vehicle collision with extrication 3 5 0 0 blocks north stadium boulevard ill um,0.8870644569396973,set it to 12 medical emergencies 1400 ballenger lane columbia fire jurisdiction,0.7333255410194397,america to 12 medical emergency 1400 ballinger main columbia fire jurisdiction medic 212 medical emergency 1400 ballinger lane columbia fire jurisdictions across australia street and lillian dr timeout 11 32 hours,0.8948125839233398,Italian Squad 3500 block North Stadium,and then Q ladder to Battalion to Chief seven Squad 3 Zelda response vehicle collision with extrication 3500 block North Stadium Boulevard Columbia Fire jurisdiction engine to ladder to Battalion to Chief seven Squad 3 Delta response vehicle collision with extrication 3 5 0 0 blocks North Stadium Boulevard I'll um,['3500 block north stadium'],"['3 zelda response vehicle', '3500 block north stadium', '3 delta response vehicle', '0 blocks north stadium']",['1400 ballenger lane columbia'],"['1400 ballinger main columbia', '1400 ballinger lane columbia']"
