InNum,CallDateTime,Address,AptLot,geox,geoy,ExtNatureDisplayName,Report,PolArea,DOW,Hour,Agency
2019083122,"4/11/2019 11:23:35 PM","3003-6 FALLING LEAF CT","          ",1698600.1299999999,1122881.1299999999,"Medical Response",1903590,"80S ",Thursday,23,"CFD "
2019083121,"4/11/2019 11:21:45 PM","703-202 CLAUDELL LN","          ",1678779.3799999999,1139434.3799999999,"Medical Response",1903589,"10W ",Thursday,23,"CFD "
2019083064,"4/11/2019 9:49:56 PM","5410 KELSEY DR","          ",1710448.3799999999,1144071.75,"Citizen Assist/Service Call",1903587,"40E ",Thursday,21,"CFD "
2019083026,"4/11/2019 9:10:06 PM","500 S OGDEN ST","          ",1702389.5,1236701.25,"Medical Response",19001047,"160 ",Thursday,21,BCFD
2019083007,"4/11/2019 8:48:33 PM","3655 BRIARMONT AVE","          ",1701276.3799999999,1116063,"Fire Alarm",1903585,"80S ",Thursday,20,"CFD "
2019082990,"4/11/2019 8:20:33 PM","501 LAUREL DR","          ",1674569.5,1134639.1299999999,"Medical Response",1903584,"50W ",Thursday,20,"CFD "
2019082984,"4/11/2019 8:15:51 PM","406-A W SOUTHAMPTON DR","          ",1683433.25,1116761.1299999999,"Medical Response",1903582,"60W ",Thursday,20,"CFD "
2019082983,"4/11/2019 8:15:45 PM","N HWY 63 NB/BROWN STATION RD","          ",1699565,1150537.1299999999,"Vehicle Collision",1903583,"30N ",Thursday,20,"CFD "
2019082951,"4/11/2019 7:36:21 PM","1 HOSPITAL DR","          ",1689228.75,1130549.8799999999,"Long Distance Transport",,MUG1,Thursday,19,"CFD "
2019082950,"4/11/2019 7:34:55 PM","2704 VISTAVIEW TER","          ",1681237.8799999999,1124972.8799999999,"Medical Response",1903581,"60E ",Thursday,19,"CFD "
2019082946,"4/11/2019 7:32:30 PM","500 E WALNUT ST","          ",1688324,1135717.6299999999,"Elevator/Escalator Rescue",1903580,"70D ",Thursday,19,"CFD "
2019082916,"4/11/2019 6:25:58 PM","1801 N STADIUM BLVD","          ",1676908.5,1143478.25,"Fire Alarm",1903579,"10W ",Thursday,18,"CFD "
2019082901,"4/11/2019 6:11:42 PM","109 N KEENE ST","          ",1699898,1135965.75,"Medical Response",1903578,"80N ",Thursday,18,"CFD "
2019082895,"4/11/2019 6:03:03 PM","4704 VALHALLA CT","          ",1667786.6299999999,1118325.6299999999,"Medical Response",1903577,"60W ",Thursday,18,"CFD "
2019082878,"4/11/2019 5:49:36 PM","4300-BLK S PROVIDENCE RD","          ",1687396.5,1117835.6299999999,"Vehicle Collision with Injuries",1903576,"60E ",Thursday,17,"CFD "
2019082870,"4/11/2019 5:29:34 PM","109 W FOREST AVE","          ",1686015.5,1139803.25,"Fire Alarm",1903575,"20W ",Thursday,17,"CFD "
2019082853,"4/11/2019 5:07:39 PM","4510 W GEORGETOWN DR","          ",1667813.75,1131051.25,"Medical Response",19001045,"111 ",Thursday,17,BCFD
2019082841,"4/11/2019 4:57:23 PM","1601 LABRADOR DR","          ",1665375.3799999999,1130780.25,"Smoke Alarm",1903574,"50W ",Thursday,16,"CFD "
2019082840,"4/11/2019 4:57:03 PM","2601 GRINDSTONE PKWY","          ",1697024.3799999999,1121646.5,"Medical Response",1903573,"80S ",Thursday,16,"CFD "
2019082777,"4/11/2019 3:44:19 PM","4303 S PROVIDENCE RD","          ",1686778.8799999999,1117273.25,"Medical Response",1903572,"60E ",Thursday,15,"CFD "
2019082759,"4/11/2019 3:28:22 PM","6706 CHELAN DR","          ",1675041,1108207,"Medical Response",1903571,"60W ",Thursday,15,"CFD "
2019082715,"4/11/2019 2:56:25 PM","1220 I70 W","          ",1663775.8799999999,1142599.8799999999,"Vehicle Collision",19001044,"103 ",Thursday,14,BCFD
2019082698,"4/11/2019 2:40:28 PM","2910 BLUFF CREEK DR","          ",1698171.1299999999,1122758.75,"Fire Alarm",1903570,"80S ",Thursday,14,"CFD "
2019082692,"4/11/2019 2:39:42 PM","1201-804 PAQUIN ST","          ",1690631.3799999999,1134066,"Medical Response",1903569,"70  ",Thursday,14,"CFD "
